"","Division","Neighbourhood","ID"
"1","D12","Rockcliffe-Smythe (111)",17
"2","D12","Weston (113)",21
"3","D14","Niagara (82)",16
"4","D23","Mount Olive-Silverstone-Jamestown (2)",27
"5","D23","West Humber-Clairville (1)",27
"6","D31","Black Creek (24)",24
"7","D31","Downsview-Roding-CFB (26)",28
"8","D31","Glenfield-Jane Heights (25)",29
"9","D41","Clairlea-Birchmount (120)",15
"10","D42","Malvern (132)",30
"11","D42","Rouge (131)",19
"12","D43","Woburn (137)",21
"13","D51","Cabbagetown-South St.James Town (71)",16
"14","D51","Church-Yonge Corridor (75)",19
"15","D51","Moss Park (73)",31
"16","D51","Regent Park (72)",19
"17","D52","Bay Street Corridor (76)",16
"18","D55","South Riverdale (70)",20
