"","Division","Neighbourhood","ID"
"1","D11","Dovercourt-Wallace Emerson-Junction (93)",7
"2","D11","Dufferin Grove (83)",1
"3","D11","High Park-Swansea (87)",6
"4","D11","High Park North (88)",2
"5","D11","Humber Heights-Westmount (8)",1
"6","D11","Junction Area (90)",3
"7","D11","Lambton Baby Point (114)",6
"8","D11","Little Portugal (84)",2
"9","D11","Oakridge (121)",1
"10","D11","Rockcliffe-Smythe (111)",1
"11","D11","Roncesvalles (86)",3
"12","D11","Scarborough Village (139)",1
"13","D11","South Parkdale (85)",3
"14","D11","Weston-Pellam Park (91)",3
"15","D11","York University Heights (27)",1
"16","D12","Beechborough-Greenbrook (112)",2
"17","D12","Brookhaven-Amesbury (30)",3
"18","D12","Junction Area (90)",3
"19","D12","Keelesdale-Eglinton West (110)",10
"20","D12","Kingsview Village-The Westway (6)",1
"21","D12","Mount Dennis (115)",11
"22","D12","Pelmo Park-Humberlea (23)",3
"23","D12","Rockcliffe-Smythe (111)",17
"24","D12","Rustic (28)",2
"25","D12","Weston-Pellam Park (91)",5
"26","D12","Weston (113)",21
"27","D13","Briar Hill-Belgravia (108)",5
"28","D13","Caledonia-Fairbank (109)",2
"29","D13","Casa Loma (96)",1
"30","D13","Corso Italia-Davenport (92)",3
"31","D13","Dovercourt-Wallace Emerson-Junction (93)",2
"32","D13","Forest Hill North (102)",1
"33","D13","Humewood-Cedarvale (106)",3
"34","D13","Oakwood Village (107)",11
"35","D13","Wychwood (94)",6
"36","D13","Yorkdale-Glen Park (31)",4
"37","D14","Annex (95)",1
"38","D14","Dovercourt-Wallace Emerson-Junction (93)",10
"39","D14","Dufferin Grove (83)",4
"40","D14","Kensington-Chinatown (78)",14
"41","D14","Little Portugal (84)",6
"42","D14","Niagara (82)",16
"43","D14","Palmerston-Little Italy (80)",2
"44","D14","Roncesvalles (86)",1
"45","D14","South Parkdale (85)",10
"46","D14","Trinity-Bellwoods (81)",6
"47","D14","University (79)",3
"48","D14","Waterfront Communities-The Island (77)",7
"49","D22","Alderwood (20)",6
"50","D22","Edenbridge-Humber Valley (9)",1
"51","D22","Eringate-Centennial-West Deane (11)",6
"52","D22","Etobicoke West Mall (13)",8
"53","D22","Islington-City Centre West (14)",11
"54","D22","Kingsway South (15)",1
"55","D22","Markland Wood (12)",2
"56","D22","Mimico (includes Humber Bay Shores) (17)",6
"57","D22","Mount Olive-Silverstone-Jamestown (2)",1
"58","D22","New Toronto (18)",7
"59","D22","Princess-Rosethorn (10)",2
"60","D22","Stonegate-Queensway (16)",3
"61","D23","Elms-Old Rexdale (5)",8
"62","D23","Glenfield-Jane Heights (25)",1
"63","D23","Humber Heights-Westmount (8)",6
"64","D23","Kingsview Village-The Westway (6)",12
"65","D23","Mount Olive-Silverstone-Jamestown (2)",27
"66","D23","Rexdale-Kipling (4)",4
"67","D23","Rockcliffe-Smythe (111)",1
"68","D23","Thistletown-Beaumond Heights (3)",4
"69","D23","West Humber-Clairville (1)",27
"70","D23","Willowridge-Martingrove-Richview (7)",7
"71","D31","Banbury-Don Mills (42)",1
"72","D31","Black Creek (24)",24
"73","D31","Downsview-Roding-CFB (26)",28
"74","D31","Englemount-Lawrence (32)",1
"75","D31","Glenfield-Jane Heights (25)",29
"76","D31","Humber Summit (21)",13
"77","D31","Humbermede (22)",9
"78","D31","Maple Leaf (29)",2
"79","D31","Pelmo Park-Humberlea (23)",3
"80","D31","Rustic (28)",5
"81","D31","Weston (113)",4
"82","D31","York University Heights (27)",10
"83","D32","Bedford Park-Nortown (39)",2
"84","D32","Clanton Park (33)",7
"85","D32","Downsview-Roding-CFB (26)",1
"86","D32","Englemount-Lawrence (32)",6
"87","D32","Lansing-Westgate (38)",13
"88","D32","Lawrence Park North (105)",2
"89","D32","Newtonbrook East (50)",3
"90","D32","Newtonbrook West (36)",2
"91","D32","St.Andrew-Windfields (40)",1
"92","D32","Westminster-Branson (35)",1
"93","D32","Willowdale East (51)",6
"94","D32","Willowdale West (37)",4
"95","D32","Yorkdale-Glen Park (31)",10
"96","D33","Banbury-Don Mills (42)",5
"97","D33","Bayview Village (52)",3
"98","D33","Bayview Woods-Steeles (49)",2
"99","D33","Don Valley Village (47)",7
"100","D33","Dorset Park (126)",1
"101","D33","Henry Farm (53)",3
"102","D33","Hillcrest Village (48)",4
"103","D33","Parkwoods-Donalda (45)",6
"104","D33","Pleasant View (46)",1
"105","D33","St.Andrew-Windfields (40)",3
"106","D33","Victoria Village (43)",3
"107","D41","Bendale (127)",5
"108","D41","Birchcliffe-Cliffside (122)",6
"109","D41","Clairlea-Birchmount (120)",15
"110","D41","Cliffcrest (123)",2
"111","D41","Dorset Park (126)",10
"112","D41","Eglinton East (138)",1
"113","D41","Kennedy Park (124)",8
"114","D41","Morningside (135)",1
"115","D41","Oakridge (121)",6
"116","D41","Parkwoods-Donalda (45)",2
"117","D41","Victoria Village (43)",2
"118","D41","Wexford/Maryvale (119)",14
"119","D41","Woburn (137)",2
"120","D42","Agincourt North (129)",5
"121","D42","Agincourt South-Malvern West (128)",6
"122","D42","Bendale (127)",1
"123","D42","Centennial Scarborough (133)",1
"124","D42","Clairlea-Birchmount (120)",1
"125","D42","Cliffcrest (123)",1
"126","D42","Highland Creek (134)",1
"127","D42","L'Amoreaux (117)",14
"128","D42","Malvern (132)",30
"129","D42","Milliken (130)",4
"130","D42","Pleasant View (46)",2
"131","D42","Rouge (131)",19
"132","D42","Scarborough Village (139)",1
"133","D42","Steeles (116)",4
"134","D42","Tam O'Shanter-Sullivan (118)",9
"135","D42","West Hill (136)",3
"136","D42","Woburn (137)",2
"137","D43","Bendale (127)",5
"138","D43","Centennial Scarborough (133)",2
"139","D43","Clairlea-Birchmount (120)",1
"140","D43","Cliffcrest (123)",3
"141","D43","Eglinton East (138)",9
"142","D43","Guildwood (140)",1
"143","D43","Highland Creek (134)",4
"144","D43","Morningside (135)",12
"145","D43","Rouge (131)",2
"146","D43","Scarborough Village (139)",13
"147","D43","South Riverdale (70)",1
"148","D43","West Hill (136)",12
"149","D43","Woburn (137)",21
"150","D51","Bay Street Corridor (76)",7
"151","D51","Cabbagetown-South St.James Town (71)",16
"152","D51","Church-Yonge Corridor (75)",19
"153","D51","Junction Area (90)",1
"154","D51","Mimico (includes Humber Bay Shores) (17)",1
"155","D51","Moss Park (73)",31
"156","D51","North Riverdale (68)",1
"157","D51","North St.James Town (74)",4
"158","D51","Regent Park (72)",19
"159","D51","South Riverdale (70)",4
"160","D51","Waterfront Communities-The Island (77)",6
"161","D52","Bay Street Corridor (76)",16
"162","D52","Kensington-Chinatown (78)",5
"163","D52","O'Connor-Parkview (54)",1
"164","D52","Thorncliffe Park (55)",4
"165","D52","Trinity-Bellwoods (81)",1
"166","D52","Waterfront Communities-The Island (77)",10
"167","D52","Woodbine Corridor (64)",1
"168","D53","Annex (95)",6
"169","D53","Bay Street Corridor (76)",1
"170","D53","Church-Yonge Corridor (75)",1
"171","D53","Englemount-Lawrence (32)",1
"172","D53","Forest Hill North (102)",1
"173","D53","Leaside-Bennington (56)",1
"174","D53","Mount Pleasant East (99)",2
"175","D53","Mount Pleasant West (104)",5
"176","D53","Playter Estates-Danforth (67)",1
"177","D53","Thorncliffe Park (55)",11
"178","D53","Yonge-Eglinton (100)",3
"179","D53","Yonge-St.Clair (97)",2
"180","D54","Banbury-Don Mills (42)",1
"181","D54","Blake-Jones (69)",3
"182","D54","Broadview North (57)",3
"183","D54","Danforth (66)",3
"184","D54","Danforth East York (59)",1
"185","D54","East End-Danforth (62)",1
"186","D54","Flemingdon Park (44)",9
"187","D54","Greenwood-Coxwell (65)",6
"188","D54","North Riverdale (68)",3
"189","D54","O'Connor-Parkview (54)",13
"190","D54","Old East York (58)",5
"191","D54","Playter Estates-Danforth (67)",1
"192","D54","Taylor-Massey (61)",7
"193","D54","Victoria Village (43)",4
"194","D54","Woodbine-Lumsden (60)",3
"195","D55","Blake-Jones (69)",2
"196","D55","Clairlea-Birchmount (120)",1
"197","D55","East End-Danforth (62)",6
"198","D55","Greenwood-Coxwell (65)",4
"199","D55","North Riverdale (68)",2
"200","D55","South Riverdale (70)",20
"201","D55","The Beaches (63)",3
"202","D55","Waterfront Communities-The Island (77)",1
"203","D55","Woodbine Corridor (64)",5
