"","Neighbourhood","total"
"1","Agincourt North (129)",5
"2","Agincourt South-Malvern West (128)",6
"3","Alderwood (20)",6
"4","Annex (95)",7
"5","Banbury-Don Mills (42)",7
"6","Bay Street Corridor (76)",24
"7","Bayview Village (52)",3
"8","Bayview Woods-Steeles (49)",2
"9","Bedford Park-Nortown (39)",2
"10","Beechborough-Greenbrook (112)",2
"11","Bendale (127)",11
"12","Birchcliffe-Cliffside (122)",6
"13","Black Creek (24)",24
"14","Blake-Jones (69)",5
"15","Briar Hill-Belgravia (108)",5
"16","Broadview North (57)",3
"17","Brookhaven-Amesbury (30)",3
"18","Cabbagetown-South St.James Town (71)",16
"19","Caledonia-Fairbank (109)",2
"20","Casa Loma (96)",1
"21","Centennial Scarborough (133)",3
"22","Church-Yonge Corridor (75)",20
"23","Clairlea-Birchmount (120)",18
"24","Clanton Park (33)",7
"25","Cliffcrest (123)",6
"26","Corso Italia-Davenport (92)",3
"27","Danforth (66)",3
"28","Danforth East York (59)",1
"29","Don Valley Village (47)",7
"30","Dorset Park (126)",11
"31","Dovercourt-Wallace Emerson-Junction (93)",19
"32","Downsview-Roding-CFB (26)",29
"33","Dufferin Grove (83)",5
"34","East End-Danforth (62)",7
"35","Edenbridge-Humber Valley (9)",1
"36","Eglinton East (138)",10
"37","Elms-Old Rexdale (5)",8
"38","Englemount-Lawrence (32)",8
"39","Eringate-Centennial-West Deane (11)",6
"40","Etobicoke West Mall (13)",8
"41","Flemingdon Park (44)",9
"42","Forest Hill North (102)",2
"43","Glenfield-Jane Heights (25)",30
"44","Greenwood-Coxwell (65)",10
"45","Guildwood (140)",1
"46","Henry Farm (53)",3
"47","High Park-Swansea (87)",6
"48","High Park North (88)",2
"49","Highland Creek (134)",5
"50","Hillcrest Village (48)",4
"51","Humber Heights-Westmount (8)",7
"52","Humber Summit (21)",13
"53","Humbermede (22)",9
"54","Humewood-Cedarvale (106)",3
"55","Islington-City Centre West (14)",11
"56","Junction Area (90)",7
"57","Keelesdale-Eglinton West (110)",10
"58","Kennedy Park (124)",8
"59","Kensington-Chinatown (78)",19
"60","Kingsview Village-The Westway (6)",13
"61","Kingsway South (15)",1
"62","L'Amoreaux (117)",14
"63","Lambton Baby Point (114)",6
"64","Lansing-Westgate (38)",13
"65","Lawrence Park North (105)",2
"66","Leaside-Bennington (56)",1
"67","Little Portugal (84)",8
"68","Malvern (132)",30
"69","Maple Leaf (29)",2
"70","Markland Wood (12)",2
"71","Milliken (130)",4
"72","Mimico (includes Humber Bay Shores) (17)",7
"73","Morningside (135)",13
"74","Moss Park (73)",31
"75","Mount Dennis (115)",11
"76","Mount Olive-Silverstone-Jamestown (2)",28
"77","Mount Pleasant East (99)",2
"78","Mount Pleasant West (104)",5
"79","New Toronto (18)",7
"80","Newtonbrook East (50)",3
"81","Newtonbrook West (36)",2
"82","Niagara (82)",16
"83","North Riverdale (68)",6
"84","North St.James Town (74)",4
"85","O'Connor-Parkview (54)",14
"86","Oakridge (121)",7
"87","Oakwood Village (107)",11
"88","Old East York (58)",5
"89","Palmerston-Little Italy (80)",2
"90","Parkwoods-Donalda (45)",8
"91","Pelmo Park-Humberlea (23)",6
"92","Playter Estates-Danforth (67)",2
"93","Pleasant View (46)",3
"94","Princess-Rosethorn (10)",2
"95","Regent Park (72)",19
"96","Rexdale-Kipling (4)",4
"97","Rockcliffe-Smythe (111)",19
"98","Roncesvalles (86)",4
"99","Rouge (131)",21
"100","Rustic (28)",7
"101","Scarborough Village (139)",15
"102","South Parkdale (85)",13
"103","South Riverdale (70)",25
"104","St.Andrew-Windfields (40)",4
"105","Steeles (116)",4
"106","Stonegate-Queensway (16)",3
"107","Tam O'Shanter-Sullivan (118)",9
"108","Taylor-Massey (61)",7
"109","The Beaches (63)",3
"110","Thistletown-Beaumond Heights (3)",4
"111","Thorncliffe Park (55)",15
"112","Trinity-Bellwoods (81)",7
"113","University (79)",3
"114","Victoria Village (43)",9
"115","Waterfront Communities-The Island (77)",24
"116","West Hill (136)",15
"117","West Humber-Clairville (1)",27
"118","Westminster-Branson (35)",1
"119","Weston-Pellam Park (91)",8
"120","Weston (113)",25
"121","Wexford/Maryvale (119)",14
"122","Willowdale East (51)",6
"123","Willowdale West (37)",4
"124","Willowridge-Martingrove-Richview (7)",7
"125","Woburn (137)",25
"126","Woodbine-Lumsden (60)",3
"127","Woodbine Corridor (64)",6
"128","Wychwood (94)",6
"129","Yonge-Eglinton (100)",3
"130","Yonge-St.Clair (97)",2
"131","York University Heights (27)",11
"132","Yorkdale-Glen Park (31)",14
